,question1,question2,is_duplicate,kw
46,What Is It Like to Work at X?: What is it like to work for the CDC in Atlanta?,What is it like to work for the Center for Disease Control (CDC)?,0,['disease']
47,I want to get lingual braces. I work in a government organisation. Will the cost of braces be covered in my medical health benefits?,I have arthritis in my wrist and I work out - what is the best wrist brace I can wear to support my wrist when I lift?,0,['health']
48,"Is sugar a drug just like cocaine? Sugar attacks the same part of brain where cocaine, heroin and nicotine and alcohol attacks it.","In terms of public health, what has turned out to be more expensive: alcohol, tobacco, marihuana, cocaine, sugar, or bread?",0,['health']
49,"What are the risks of getting computer viruses, Trojans etc. through video streaming (not downloading)?",Is my computer safe from viruses?,0,['virus']
50,Is milk really bad for your health?,Is milk good or bad for health?,0,['health']
51,Why can salt be bad for you?,Is chili bad for your health?,0,['health']
52,Is pedophilia a mental illness?,Is homosexuality a mental illness?,0,['illness']
53,MAC spoofing: How can I get into a protected network by spoofing my MAC address to one familiar to that network?,How important is to know the MAC address of a PC on a network?,0,['protect']
54,How can storch infections be prevented?,How can storch infections be cured?,0,"['infect', 'prevent']"
55,+++Instant calling@ 1877^@|778^@|8969@++ for KASPERSKY antivirus Tech Support Service?,What did you learn from your parents which later turned out to be wrong and cost you money?,0,['virus']
56,What are the health benefits of brandy and whiskey?,What are some of the healthiest foods to eat?,0,['health']
57,In cultures that practice cousin marriages are there extremely high rate of birth mental problems and physical health issues with their offspring?,What are some current issues that impact the health and wellness of populations in the US?,0,['health']
58,How do I do Surya Namaskar?,Can Muslims do Surya Namaskar?,0,['mask']
59,What will happen if I practice Surya-Namaskar (sun salutations) in night? Is it allowed to practice it in night?,Can Muslims do Surya Namaskar?,0,['mask']
60,Will the Secret Service do a better job protecting President Trump compared to 1963 when John F Kennedy got assassinated?,What would cause sudden emissions of gamma ray's randomly?,0,['protect']
61,Are mental health disorders real?,Why an IAS officer does not get posting to his home district?,0,['health']
62,"Since psychiatry no longer labels gays mentally ill, why does religion?",What is it like to recover after suffering from mental illnesses since childhood?,0,['illness']
63,How should birthdays be celebrated ideally?,"My all files are infected with CERBER3,and I format my c drive and don't have the previous version, what should I do to get it back? Please help?",0,['infect']
64,What are the social protocols for gazetted and non gazetted officers?,Where can I get a matte screen protector for Huawei Honor 5C in India?,0,['protect']
65,Is it healthy to drink turkish coffee every day?,How many cups of coffee a day can a person drink?,0,['health']
66,How do I view protected tweets without following the person on Twitter?,Is there any way to view protected tweets?,0,['protect']
67,What are the health implications of accidentally eating a small quantity of aluminium foil?,Is aluminum cookware bad for you?,0,['health']
68,"How is Hillary Clinton’s health, and will it affect the Democratic Party and the US Presidential elections?",How does pneumonia affect Hillary Clinton from a health perspective?,0,['health']
69,How does Swagbucks work?,What does Swagbucks do to prevent bots?,0,['prevent']
70,How are Sasha and Malia Obama protected while in school?,How is the security for Obama's daughters? How do they manage security while at the school?,0,['protect']
71,What is the best way to prevent bicep or tendon tear?,What are the causes of bicep tear?,0,['prevent']
72,"Is masturbation harmful or not? If so, in what way?","What are the health effects, if any, of ceasing to masturbate?",0,['health']
73,"""Every one is unique in this world"", what are the best ways to find my uniqueness?",How do i prevent other people in this world to use similar name like me? Is there any way that i can protect my unique name as My IP assets?,0,"['protect', 'prevent']"
74,Where can I find family health insurance quotes in Virginia?,Where can I find Family Health insurance quotes in the US?,0,['health']
75,Can we do invest in stock markets without any brokers?,"Is it better to euthanize animals or to save them at risk of discomfort, neglect, and disease?",0,['disease']
76,"What does ""client transfer prohibited"" on whois status mean?",How do I get past WHOIS masking?,0,['mask']
77,"How do I get an appointment for regular health (BP, blood sugar etc) checkup at AIIMS Bhubaneswar?",What is the realistic budget of travelling to Europe for an Indian couple?,0,['health']
78,Which is a good inpatient drug and alcohol rehab center in Washington County IL?,Which is a good inpatient drug and alcohol rehab center in Greene County IL?,0,['patient']
79,Why do some Jews have curly hair?,How has doing Suryanamaskara helped you in your life?,0,['mask']
80,Do we have to rinse our face after using a face mask?,How many times should I use face mask?,0,['mask']
81,What restrictions can the Secret Service legally place on the President's actions?,Will President Obama still be protected by the Secret Service when his presidency is over?,0,['protect']
82,Is there any vaccine for tuberculosis?,Why is there no vaccine for dengue?,0,['vaccine']
83,What is the difference between elemental and polymeric diets?,What does a healthy diet consist of?,0,['health']
84,"If I have a cold and drink juice straight from the bottle, and then when I'm healthy a few days later I drink from it again, can I get sick again?",Colds and the Common Cold: Why do I get symptoms of an upper respiratory infection after taking my first sip from a new bottle of water?,0,"['health', 'infect', 'symptom']"
85,"My son is a 27 year old agoraphobic. Refuses treatment and doesn't work, I don't have the heart to kick him out, what should I do?",My 17-year-old son keeps unbuttoning his shirt and refuses to rebutton it. He says he likes the rockstar look. What should I do?,0,['treatment']
86,How long should you wait after drinking (alcohol) before taking painkillers?,How long should I wait to drink alcohol after taking medicines?,0,['medicine']
87,What is leukoderma and what are the symptoms of it?,What are the symptoms of inflammation? How is it diagnosed?,0,['symptom']
88,Why do children hate vegetables?,"I am 18 and hate all fruits and vegetables. I eat strictly meat, grains and Dairy. What will my health be if I continue to eat like this? (currently I am very fit)",0,['health']
89,How can a tonsillectomy cause deafness?,How can I prevent vomiting after a tonsillectomy?,0,['prevent']
90,What are the health benefits of papaya?,What are the health benefits of papaya seeds?,0,['health']
91,How do I convince parents if you want to study abroad?,How do I convince my overprotective strict parents to let me study abroad?,0,['protect']
92,What antivirus is there that is free and does really work?,Do Antivirus really work?,0,['virus']
93,How much are Uyghur people in China exposed to the modern Turkish language?,My sister was bitten by my pet dog 8 months ago and the dog is still normal healthy and alive. Is vaccination required by my sister?,0,['health']
94,What exercise can I do to eliminate waist fat?,Health: How can I reduce my waist size and thighs with exercise? Which exercise should I prefer?,0,['health']
95,Is there an inpatient Drug and Alcohol Rehab Center in Inyo County California?,Is there an inpatient Drug and Alcohol Rehab Center in Stanislaus County California?,0,['patient']
96,Has any country ever dropped a gov't pay health care system in favor of a user pay only?,"I am working in a health care company in India. They provide me one exam with a cost of 50,000 rupees with 2 years bond. If bond is broken I have to pay one lakh rupees. I signed a bond but I want to change companies. If I abscond the company will they take any legal action?",0,['health']
97,I get nasty and sarcastic very easily? How do I change myself,Is missing someone & being sad about wanting them bad for my health?,0,['health']
98,How do you find your health insurance policy number?,How a person can create a  health insurance policy?,0,['health']
99,Which is a good inpatient drug and alcohol rehab center in Washington County IL?,Which is a good inpatient drug and alcohol rehab center in Piatt County IL?,0,['patient']
100,What is the best way to start my own manufacturing company?,How can I start my own medicine manufacturing company?,0,['medicine']
101,Why does Zak Bagans from Ghost Adventures wear a gas mask sometimes during investigations?,"Who is Grant Wilson from ""Ghost Hunters""? What else has he worked on?",0,['mask']
102,How can I meet gay professional athletes?,My ovulation window opened on 1st Jan but had unprotected sex 3 days before what chance is there of me being pregnant?,0,['protect']
103,What are some interesting topics for paper presentation?,What is the best topic for paper presentation in medicine?,0,['medicine']
104,Why does the line on positive pregnancy tests fade?,"What are the risk of having kidney disease if I don't smoke nor drink, nor have family history with kidney disease?",0,['disease']
105,"A lady can get HIV when, she have sex with two different person?",How quickly can a person become infected with HIV?,0,"['hiv', 'infect']"
106,Suryanamaskar is the best exercise?,What are the best exercises?,0,['mask']
107,What is the Dr. Nowazardan pre-op diet?,What is a healthy diet for someone with pre-diabetes?,0,['health']
108,What would be the effect of turbid water on the disinfectant ability?,What are the effects of drinking warm water?,0,['infect']
109,What are the symptoms of sulfide allergy?,What are the symptoms of palladium allergy?,0,['symptom']
110,How long does it take a woman to get pregnant after sex?,What are the common first signs of pregnancy? How can I tell if I'm pregnant? What are the symptoms?,0,['symptom']
111,Why is the attrition rate of Infosys the highest at around 19% compared with all other IT companies?,What is the healthy attrition rate in the IT sector at Chennai?,0,['health']
112,What are some benefits of having McAfee antivirus in my laptop?,How much does siddhu get paid for each episode on kapil sharma show?,0,['virus']
113,What can middle aged people do to achieve clarity in life?,Is penicillin necessary to remove an eye infection?,0,['infect']
114,How effective is Dr. Batra's treatment?,Is Dr. Batra a scam?,0,['treatment']
115,"Can cats get kennel cough from dogs? If so, how can this be prevented?",How do I change career from RF engineer to cloud?,0,['prevent']
116,What is the best way to keep your teeth and gum healthy?,How do I keep my teeth healthy?,0,['health']
117,What are some symptoms of when you become schizophrenic?,Is confusion another symptom of being schizophrenic?,0,['symptom']
118,Is it unhealthy for a teenager to drink 1 cup of coffee a day?,How many cups of coffee a day can a person drink?,0,['health']
119,What would happen if you left a gas (or electric) stove unattended for several hours?,Which is more healthy to use a gas or electric stove?,0,['health']
120,How does it feel like to have boobs sucked? Do girls enjoy it or it is disgusting?,"There was one drop of blood on her lips, and she sucked it. Later I sucked her lips. She has HIV. Am I at risk?",0,['hiv']
121,Why do I feel hung over and groggy the day after a massage?,"I do go to the gym, eat healthy, and sleep 6 hours. How do I feel energetic after 13.50 hours a day to start studying?",0,['health']
122,What sort of symptoms should you experience if you are 3 weeks and 6 days pregnant?,What sort of symptoms should you experience if you are 40 weeks and 6 days pregnant?,0,['symptom']
123,How would planned parenthood change in a universal healthcare system?,How can we get the American Democratic and Republican parties to see eye-to-eye with each other?,0,['health']
124,Can calling your significant other Daddy/Little Girl lead to an unhealthy relationship?,"Dating and Relationships: What does it mean if your significant other sent this message after he wanted to spend time apart: ""thanks for your sweet messages, work is tough, I can't handle emotional stress tonight, we can talk at the weekend if you want, sorry for the pain""?",0,['health']
125,"How can I successfully prevent police from tracking my phone, if I'm a fugitive travelling?",How do I find a phone taken by the police?,0,['prevent']
126,What is your review of www.abundancestockadvisors.com?,What are some reviews of www.allgenericmedicine.com?,0,['medicine']
127,Can someone develop tourette syndrome later in life?,Is Tourettes a mental illness?,0,['illness']
128,Is it safe to take your dog outside before its third round of vaccines?,What happens if a person not bitten by dog takes 5 doses of vaccination?,0,['vaccine']
129,What are the uses for whey protein?,What are the health effects of whey protein?,0,['health']
130,How do you deal with overprotective parents?,"How do you deal with old, overprotective parents?",0,['protect']
131,How is pharyngitis treated? Is this a contagious disease?,What is meant by a contagious disease?,0,['disease']
132,How can you effectively lose a lot of weight without compromising your health?,How much weight can you lose in two months without endangering your health?,0,['health']
133,"Does Popcorn Time put any viruses, adware, or anything else bad into your computer when you download it? Is it safe?",What does Popcorn Time download?,0,['virus']
134,What is a healthy diet chart for 25-year-old man's body?,"I am 25 years old. I am thin, 141 pounds and 6ft. I really want to build a good body. How do I start?",0,['health']
135,How can I tell the difference between a bug bite and a staph infection that looks like a bug bite?,Can bactrim treat a staph infection?,0,['infect']
136,What is best way to reduce weight in two months?,How can I lose weight in a healthy way?,0,['health']
137,From my experience with green tea I almost throw up tasting it. I want to speed up my metabolism and heard a good way to do it is by drinking green tea. How do I drink green tea without getting that throw up feeling?,Is it enough to drink green tea once a week to get its health benefits?,0,['health']
138,Explain the acidity of phenols using mesomeric effect?,How does it like to find out you have liver disease?,0,['disease']
139,What insurance plans cover the cost of the HPV vaccine in the US?,What insurance plans cover the cost of the HPV vaccine?,0,['vaccine']
140,"Indian Medicine: Is ""Chawanprash"" really beneficial?",Is there difference in German and Indian homeopathic medicine?,0,['medicine']
141,What is a good inpatient drug and alcohol rehab center near Greenlee County Arizona?,What is a good inpatient drug and alcohol rehab center near Graham County Arizona?,0,['patient']
142,Is it healthy to eat banana for breakfast?,Is it healthy to eat bananas?,0,['health']
143,Which is a good inpatient drug and alcohol rehab center near Lawrence County AL?,What is a good inpatient drug and alcohol rehab center near Colbert County AL?,0,['patient']
144,How do you find someone who might be in a mental health hospital?,What are the best inpatient mental health hospitals in the us?,0,"['health', 'patient']"
145,How do I lose weight without compromising food?,What are some ways to lose weight without compromising your health?,0,['health']
146,"How does one prevent a vast array of diseases that affect the heart, the lungs, the liver, the bladder, the body in general?",The circle x^2+y^2=4x+8y+5 intersects the line 3x-4y=m at how many distinct points?,0,"['disease', 'prevent']"
147,Which is a suitable inpatient drug and alcohol rehab center in Adams County IL?,Which is a suitable inpatient drug and alcohol rehab center in Edwards County IL?,0,['patient']
148,What is a suitable inpatient drug and alcohol rehab center in Lucas County IA?,Which is a suitable inpatient drug and alcohol rehab center in Floyd County IA?,0,['patient']
149,"My hair is thinning, very dry, and unhealthy, and I have dandruff?","My hair is long and thin, how can I naturally thicken my hair?",0,['health']
150,Why do we sometimes get a strange painful sensation in the jaw area when eating a first bite?,What are the common first signs of pregnancy? How can I tell if I'm pregnant? What are the symptoms?,0,['symptom']
151,"What are the most common symptoms for pregnancy, and can you know with certainty if you are expecting without taking a test?","If you can teleport to anytime and anywhere for once, what is the most damage you can do to humanity with and without time traveling?",0,['symptom']
152,"Macrophilia: What are the psychological effects of being licked and sucked, like a sucker?",Is it really a healthy practice to let my dog lick my face?,0,['health']
153,What is vaccination?,What is in a vaccine?,0,['vaccine']
154,Have you ever switched price tags in supermarket?,How do I prevent my garden from being infested by pests?,0,['prevent']
155,I'm 16 and not sexually active. My doctor ordered an STI urine test. Why?,I am a young woman who recently had a urinal infection (Escherichia Coli) and I am not sure it is cured yet. Is it safe for my sexual partners to perform oral sex on me?,0,['infect']
156,"I literally can't control my mind. I'm trying not to think about some things, but it feels like there is something in my mind, some voice who is repeating it all over again and again. I'm scared that it could be some mental problems or illness. What is my problem?",I'm in high school and interested in science. I like thinking about problems in my head and mentally solving them. What field in science is for me?,0,['illness']
157,How do I eat healthily if I’m poor?,Why can't I eat healthily now after eating right for 9 months and losing ~75 pounds?,0,['health']
158,What was your experience with Ayurvedic medicine?,How do you sell Ayurvedic medicines in bulk?,0,['medicine']
159,Does the human papillomavirus (HPV) vaccine cause infertility?,Why does my doctor think its so important that I get the HPV vaccine at 15?,0,"['virus', 'vaccine']"
160,How many businesses in the U.S. operate during all hours of the day?,Can a computer virus cause a server to catch fire?,0,['virus']
161,"How true is it that ones height stops growing when you start off with weight lifting? I'm around 5'8"" right now. I'm thinking of going to the gym. Is it advisable?",I'm 15 and weigh around 130 pounds. When should I start to worry about my weight? And when should I start to hit the gym and eat healthy?,0,['health']
162,Which is a suitable inpatient drug and alcohol rehab center in Calhoun County AR?,Which is a suitable inpatient drug and alcohol rehab center in Calhoun County AL?,0,['patient']
163,Can the court case can be shifted to other cities for handicapped employee?,Can I have Missouri Family Court summon someone from New York to appear if I request for a protection order? The other person already has a protection order case against myself in NY Family Court. What are the chances that cases will be merged before the defendant will need to appear?,0,['protect']
164,What are the symptoms a man or boy have when his wife or girlfriend is pregnant?,Is it possible for a man to love his wife/girlfriend and still cheat on her?,0,['symptom']
165,How many times masturbation of week is healther?,How many times we can we masturbate in a week?,0,['health']
166,What are the disadvantages of smoking weed?,"Is weed worse than cigarettes, for your health?",0,['health']
167,How much does a man's body matter to women?,What is chivalry and how much does it matter to women if a man is chivalrous?,0,['hiv']
168,Which is a good inpatient drug and alcohol rehab center near Crisp County GA?,Which is a good inpatient drug and alcohol rehab center near Warren County GA?,0,['patient']
169,How much it costs for laser treatment of eye in Vijayawada?,Which is the best laser treatment for eyes?,0,['treatment']
170,Is there any health hazard for using mi band?,Which is better between the mi band and the YuFit?,0,['health']
171,What if a girl says to a boy that she needs him until she die.Is it love or friendship?,"Got a bad dream and woke up at 12am mid-night, What does that mean? As I felt so real and got full sweat and shivering?",0,['hiv']
172,Are there any parasites or side effects that may occur upon consuming a live silverfish (the pest)?,What are the side effects of non live cultures in cat vaccine?,0,['vaccine']
173,Which is a good inpatient drug and alcohol rehab center in Sharp County AR?,Which is a good inpatient drug and alcohol rehab center in Lee County AR?,0,['patient']
174,"Food, Nutrition, Eating, Restaurant, Dining, Health, Healthy: Is it true that fat burns in a carbohydrate flame?",What type of healthy food burns fat?,0,['health']
175,Is there any need of tempered glass or screen guard on gorilla glass 4?,Do we need a tempered glass or screen protector for Vivo V5?,0,['protect']
176,What are common required and elective courses in nursing?,What are common required and elective courses in medicine?,0,['medicine']
177,"I am facing stomach gas, alternate diarrhea and constipation, and all blood tests are normal. The doctor says it's IBS and I am not able to attend college for 2 months. What do I do?",I am living in a hostel where the food is very bad and unhealthy. How can I shed fat from my stomach and thighs in a month?,0,['health']
178,How can I export WhatsApp group phone numbers?,How do I prevent people in WhatsApp group chat from seeing each other's phone numbers?,0,['prevent']
179,How is a microvascular ischemic white matter disease identified?,How is a microvascular ischemic white matter disease treated?,0,['disease']
180,How do you best protect yourself from a zipper when you go commando?,What is the most exciting aspect about going commando for a day?,0,['protect']
181,What further research needs to be done to understand how viruses manipulate the insects that spread them?,Is it the right time to associate car with uber in pune?,0,['virus']
182,How are the placements at Shiv Nadar University for EEE?,How are the placements at shiv nadar university?,0,['hiv']
183,I'm scared of growing up. Every time I think about my future I feel very stressed/scared. How do I prevent this feeling?,"I am so scared to live my life, scared about my future. How can I overcome this feeling?",0,['prevent']
184,What are some good diets to do?,What is the best way to optimize one's diet and health?,0,['health']
185,Is Basa fish good for health?,How good is tuna fish for dogs?,0,['health']
186,Which is the most horrifying thing/disease you have seen in your medical career?,What was the most horrifying thing that has ever happened to you?,0,['disease']
187,Does Zika Virus permanently affect a person from having children?,What do doctors think of the Zika virus?,0,['virus']
188,What are some healthy side dishes with stuffed chicken?,What are some healthy side dishes with stuffed peppers?,0,['health']
189,"By practicing to sleep for 5 or 6 hours, is it possible to maintain a healthy life style?",I'm a 36 year old healthy male. Is it possible for me to purchase whole life insurance and turn it into an annuity or do life-settlement?,0,['health']
190,Is there an inpatient Drug and Alcohol Rehab Center in Nevada County California?,Is there an inpatient Drug and Alcohol Rehab Center in Lake County California?,0,['patient']
191,"Why had Churchill said, ""Islam to a man is like rabies to a dog. Islam is a deadly disease""?",Churchill's quotation on the evils of Islam got a UK man arrested. Would Winston Churchill be arrested if he said it today?,0,['disease']
192,Which is a suitable inpatient drug and alcohol rehab center in Grant County KY?,Which is a suitable inpatient drug and alcohol rehab center in Marshall County KY?,0,['patient']
193,What are the symptoms of a heart cancer?,What are the symptoms of cancer in the neck?,0,['symptom']
194,What is a suitable inpatient drug and alcohol rehab center near Long County GA?,What is a suitable inpatient drug and alcohol rehab center near Candler County GA?,0,['patient']
195,Can I use Canon Easyday protector food for several lenses?,Buy gas station?,0,['protect']
196,If Sikhs are so brave then why did they end up facing genocide in 1984? Why couldn't they protect themselves?,Why are the Sikhs so brave?,0,['protect']
197,What is the best way to get a great deal on a mattress?,What type of mattress is the best for health?,0,['health']
198,What are the health risks of taking two antibiotics at the same time?,Can I take two health insurance polices at a time?,0,['health']
199,Why does cellular internet like 2g and 3g not become infected with viruses like wired broadband does?,"How do I know if the internet in my phone is 2G, 3G or 4G?",0,"['virus', 'infect']"
200,Is it advisable to drink more than 2 cups of coffee each day?,Is drinking 2 cups of coffee everyday healthy?,0,['health']
201,Is the website Putlocker a legal and non virus website to watch movies and T.V. shows?,What are some good websites to watch old and new shows and movies?,0,['virus']
202,"Under what Presidents did we have a great economy, no wars, good education, low poverty, low crime, good foreign relations and most Americans happy?",What is the tax treatment of cash gifts received by minor child?,0,['treatment']
203,Is it really unhealthy to drink approximately 3 energy drinks (example: Red Bull) of 250 ml per day?,What are some natural food items with less side effects that can replace energy drinks (red bull or 5 hour energy drink)?,0,['health']
204,How can you integrate both body building and marathon training into your workout regimen without one being detrimental to the other?,Health: Is Tai Chi able to build one’s body up?,0,['health']
205,What diseases are caused by animal viruses?,What diseases are caused by fungi?,0,"['virus', 'disease']"
206,"I'm 17 and have had 6-8 hours of sleep. I feel strange, am less aware of things, forget things and have a slow reaction time. Am I okay?","I get less than 6-7 hours of sleep a day, but I still feel pretty fine throughout the day. Is that healthy? Am I just ""blessed?""",0,['health']
207,"If a wound is itchy, does that mean its healing or infected?",How much time does a bullet wound take to heal by itself?,0,['infect']
208,What do the flu shots help with?,How does the flu shot work?,0,['flu ']
209,How can I convince my high school principal to add a healthy aging class as an elective? How can I persuade her?,How can I convince my high school principal to add a stock market class as an elective? How can I persuade her?,0,['health']
210,How can I be more patient?,How can I be patient?,0,['patient']
211,How can I protect my app name so that it can not be used by other?,Shortcut for c compilation?,0,['protect']
212,From where can I download software for free?,Which antivirus software can I download for free?,0,['virus']
213,What happens to cells in our bodies when they die?,"What happens when a virus, bacterium etc interacts with a cancer cell?",0,['virus']
214,What is the best way to gain some weight?,How could I gain weight in a healthy way?,0,['health']
215,Is Travellingtrips.com legit?,Is sahivalue.com legit?,0,['hiv']
216,What is the worst mental illness to have?,How do I help a depressed person to get over it?,0,['illness']
217,How can we crack the zip file password?,How do I extract or unzip or unrar a password protected zip or rar file?,0,['protect']
218,What is the proper time to do a PP glucose test in diabetes.Is 2 hrs from starting of first bite of last meal or 2 hrs after completion of last meal?,What prevents someone from selling several thousand out of the money options that have no chance of going itm on a Friday with only 2 hrs remaining?,0,['prevent']
219,How can a hard lump in the ear lobe be prevented?,Which side of the brain is manners located?,0,['prevent']
220,What diseases are caused by lymphs?,What diseases are caused by bacilli bacteria?,0,['disease']
221,"What is the most basic breakfast, lunch, and dinner?","Is it possible to eat the same meal for breakfast, lunch and dinner and still be healthy (and, if so, what would that meal be)?",0,['health']
222,What are the symptoms of HIV?,What are the symptoms of HIV? When do the first symptoms appear?,0,"['hiv', 'symptom']"
223,"Can a SIM card have a virus? If so, what's the point of infecting them?",Can I pre-load a SIM card with apps so you can load them onto your phone? How?,0,"['virus', 'infect']"
224,"Under Narendra Modi's leadership, can India achieve a double digit growth rate in coming years?",Is Japanese food good for health?,0,['health']
225,What symptoms did you notice before being diagnosed with cancer?,What are the common first signs of pregnancy? How can I tell if I'm pregnant? What are the symptoms?,0,['symptom']
226,What diseases are caused by garbage?,How do pathogenic bacteria cause diseases?,0,['disease']
227,What is Avira antivirus?,Is avira antivirus good?,0,['virus']
228,"Why do you believe in vampires, to those who do?",Some people believe in real vampirism. What are the symptoms of vampirism?,0,['symptom']
