,question1,question2,is_duplicate,kw
27,Will a person with undiagnosed borderline personality disorder ever see clearly without treatment?,Will the U.S. ever see an asset backed currency?,0,['treatment']
28,Has yoga helped anyone?,What are the health benefits of yoga?,0,['health']
29,"Are economic crises a price worth paying for long-term economic success, or are they a symptom of the fundamental failings of global capitalism?",How have changing oil prices impacted US and global economic prospects?,0,['symptom']
30,What is the force that opposes gravity and prevents objects from collapsing on themselves?,What prevents the Earth from collapsing under its own gravity?,0,['prevent']
31,"As a woman ages, no matter how well she cares for her skin, body, etc. her neck will always tell her age. Is this possible to prevent? How?",Is it ok for a woman to lie about her age?,0,['prevent']
32,Is the development of 6th sense possible in human being?,How do I get a child from overseas medical treatment in America?,0,['treatment']
33,Are all five Trump kids going to have Secret Service protection?,What is the Secret Service's nickname for Trump?,0,['protect']
34,Why do we feel cold when we are ill?,Illness: How does it feel to be on a ventilator?,0,['illness']
35,What are the best health and fitness blogs to follow on Tumblr?,How do I change main primary Tumblr blog?,0,['health']
36,Is emotional stress affect reproduction and health?,What are the benefits of listening to Tibetan singing bowl music?,0,['health']
37,Can I transfer from one b.com college to other?,Is it wise to marry someone who is not interested in healthy eating and working out?,0,['health']
38,Which is a suitable inpatient drug and alcohol rehab center in Appling County GA?,Which is a suitable inpatient drug and alcohol rehab center in Heard County GA?,0,['patient']
39,What are the symptoms of vertigo?,How can I concentrate on learning English?,0,['symptom']
40,I have a glass screen protector on my iPhone 6 and I cracked my screen protector does that mean the real iPhone is cracked too?,How do I put a screen protector on an iPhone 6?,0,['protect']
41,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,Can I take rabies injection after 1 day of dog bite?,0,['vaccine']
42,How could we get a good rank in GATE?,How can achive a good rank in GATE 2016 as a average student?,0,['hiv']
43,What are some healthy ways you can lose 35 pounds in 3 months?,"What are some successful, healthy ways to lose 50 pounds in 3 months?",0,['health']
44,"What is the meaning of a ""FWB relationship""?",How competitive is the hiring process at Merge Health Care?,0,['health']
45,Which is a good inpatient drug and alcohol rehab center near Washington County GA?,Which is a good inpatient drug and alcohol rehab center near Lee County GA?,0,['patient']
46,How can I remove Fevikwik's (or such strong adhesives like superglues) mark from my laptop screen?,"How do I remove Virus, Malware and Spyware from a computer or laptop?",0,['virus']
47,"Taking in count that medications and other things help many humans survive even with major illnesses, have we stopped natural selection in humanity?","Like many Indian students I took non-medical in 11th, but later on I got to know that I am not interested even a little bit in engineering. So what other options do I have after completing 12th (interested in humanities)?",0,['illness']
48,"I smoked 2 cigarettes for first time, and from 2 days, I'm having cough in mouth. Can it be a cancer symptom? Should I go to hospital for diagnosis?",I have smoked 5 cigarettes a day for the last 2 years. Am I already at risk for cancer?,0,['symptom']
49,Is it okay if I run 10 kilometers everyday?,How many kilometers should a healthy person run per 30 minutes?,0,['health']
50,Is dog saliva harmful for human health?,Is butter harmful to dogs?,0,['health']
51,How can child labour be prevented?,Why should child labour be eliminated?,0,['prevent']
52,Folders in my pendrive appear as shortcuts when connected to my PC. What is the problem?,"When I connect any pendrive with my laptop, it creates a shortcut. I scanned many times with malware detector, AVG, Avira, and Quick Heal, but there is no virus. What should I do?",0,['virus']
53,Procedure impeachment of president?,I stepped on dog diarrhea with blood? Can I get any diseases even though I washed my feet?,0,['disease']
54,Are there foods that successfully block DHT to reduce hair fall? Which ones?,What are some techniques used by Chefs to prevent hair from falling in the food they cook?,0,['prevent']
55,Can I became pregnant even after taking medicine to postpone the periods?,Is it possible that I'm getting pregnant after my 3 days period and in the evening I'm having sex?,0,['medicine']
56,What kind of virus does my PC have and how can I remove it?,What shoul I choose bvp second shift It or Cse in Amity university?,0,['virus']
57,How do I crack the password of a protected PDF file?,Is it safe to upload password protected zip file to Dropbox?,0,['protect']
58,Which health insurance company is best in India?,Which is the best health insurance company in India?,0,['health']
59,"How do I deal with my narcissistic, adult, younger sister who refuses to acknowledge that she has an illness?",My mom found out that my younger sister has a boyfriend who had visited her few nights at our house after we are asleep. How can we deal with this?,0,['illness']
60,Can Liv.52 cure fatty liver?,What is your review of Fatty Liver Disease?,0,['disease']
61,Is there a documented case of a passenger opening the emergency door during a flight?,"Health emergency on overseas flight: What actions would be taken by the airlines if a life-threatening emergency (heart attack, anaphylactic reaction) occurred during a trans-oceanic flight?",0,['health']
62,"If I can no longer take a medicine course that I love, what other courses do you think would be best to replace it with?",What course can you take if you took home science after 12 NIOS?,0,['medicine']
63,What is a good inpatient drug and alcohol rehab center in Collier County FL?,What is a good inpatient drug and alcohol rehab center in Gulf County FL?,0,['patient']
64,Which is a suitable inpatient drug and alcohol rehab center near Early County GA?,Which is a suitable inpatient drug and alcohol rehab center near Upson County GA?,0,['patient']
65,What is a good inpatient drug and alcohol rehab center near Hillsborough County FL?,What is a good inpatient drug and alcohol rehab center near Washington County FL?,0,['patient']
66,"What happens when someone is half in the TARDIS and half out when it ""takes off"" whilst the protective shielding is down?",What is the official Tardis color?,0,['protect']
67,"I went for a root canal, the dentist has filled the tooth, I suppose the infected nerve is removed, but the abscess isn't healing.How should I heal it?",How does a person's appearance shape his/her personality?,0,['infect']
68,Should I be mad at my son if he spends most of his savings on books?,My son (11 years old) is a voracious reader of books and has started neglecting his studies. He resists being directed/reminded of his responsibilities and will usually respond in grunting/growling voice. How can I manage his defiance in a healthy way?,0,['health']
69,How can I get MOOC related to Bachelor of Homoeopathic Medicine & Surgery [B.H.M.S.] developed by Indian doctors/Medical professorial/professors?,How can I get MOOC related to Bachelor of Ayurvedic Medicine and Surgery (B.A.M.S.) developed by Indian doctors/Medical professorial/professors?,0,['medicine']
70,Authorized visa card number with cvv?,Which is the best hospital for Intracytoplasmic Sperm injection treatment in Bangalore?,0,['treatment']
71,Which is a good inpatient drug and alcohol rehab center in Clinton County IA?,Which is a good inpatient drug and alcohol rehab center in Union County IA?,0,['patient']
72,Where can I get best fire inspection services in Sydney?,Where can I hire safety professionals for any fire protection service in Sydney?,0,['protect']
73,What are some of the best dialogues written by Trivikram Srinivas?,What are the best dialogues of Shiva Raj Kumar?,0,['hiv']
74,Which is a good inpatient drug and alcohol rehab center in Johnson County KY?,Which is a good inpatient drug and alcohol rehab center in Montgomery County KY?,0,['patient']
75,When is a root canal treatment necessary?,What is a root canal treatment?,0,['treatment']
76,Which is a suitable inpatient drug and alcohol rehab center in Graves County KY?,Which is a suitable inpatient drug and alcohol rehab center in Lee County KY?,0,['patient']
77,Health above 50?,How many country clubs are there in kolkata?,0,['health']
78,How do I maintain a healthy relationship with INTJ?,What are some good ways to maintain a healthy relationship?,0,['health']
79,What are some symptoms of snow allergy?,What are some causes of snow allergies?,0,['symptom']
80,How much will taxpayers have to pay to defend President Trump living at Trump Tower?,Trump's buildings around the world will likely be a target for terrorist. Will US taxpayers be paying for their protection?,0,['protect']
81,What is a Dilophosaurus? When did they live?,How can I lead a healthy life?,0,['health']
82,Is addiction really a disease or just a bad habit thats hard to break?,Is every addiction a disease?,0,['disease']
83,What is the best way to prepare for SSB?,What is the best way to prepare for medicine exams?,0,['medicine']
84,Which chili is good for health: green chili or red chili?,What beans are best for chili?,0,['health']
85,"As a doctor, what was your most 'now that was stupid' moment with a patient?",How doctors find the truth from patient?,0,['patient']
86,How can I delete the archived chats on WhatsApp?,What's with the archived chats on WhatsApp?,0,['hiv']
87,What is the best medicine for a cold?,Is it safe to take allergy medicine to treat a cold?,0,['medicine']
88,Will a US graduate degree help a non-US citizen to get job in Canada? How difficult is getting work visa?,I recently received a warning from Google saying that my phone is infected by some viruses. What should I do?,0,"['virus', 'infect']"
89,Is Early Streamer Emission effective in protecting buildings from lightning?,How do I protect my lightning cable from breaking?,0,['protect']
90,Do sociopaths wear the mask when with other sociopaths?,Do sociopaths recognize other sociopaths?,0,['mask']
91,How effective is tea tree oil in treating staph infections?,How can tea tree oil treat toothaches?,0,['infect']
92,What prevent the water from leaking into the submarine through the submarine's propeller?,"If you created a hole in the bottom of a submerged submarine, would it fill with water, crush from pressure, or just keep on submarining?",0,['prevent']
93,Which is a suitable inpatient drug and alcohol rehab center in Page County IA?,Which is a suitable inpatient drug and alcohol rehab center in Henry County IN?,0,['patient']
94,Do psychopaths lack oxytocin?,"What gives a psychopath the ability to sustain a ""mask"" for long periods of time? Is it because they lack pro-social emotions?",0,['mask']
95,Which is a good inpatient drug and alcohol rehab center near Davidson County NC?,What is a good inpatient drug and alcohol rehab center near Nash County NC?,0,['patient']
96,Whether hsg treatment open fallopin block?,"In the modern world-system, what is the Lexus and what is the olive tree?",0,['treatment']
97,If the GOP repeals the ACA as promised in 2016 will health insurance companies be able to raise premiums for pre-existing conditions such as cancer?,"Once the ACA is repealed, how soon thereafter will insurers start denying coverage based on pre-existing conditions?",0,['health']
98,Which is the best treatment for psorisis?,What is the best treatment for folliculitis?,0,['treatment']
99,"I am developing a search engine to search for audio for certain words and video for certain shapes, what would be the stack best fit for it?",Can you get through dengue without treatment?,0,['treatment']
100,What disease does Elisa suffer with in the movie Mr. Nobody?,Why do many people hold pigs in their arms in Mr. Nobody (2009)?,0,['disease']
101,"Given obesity now costs the US more money than smoking related illnesses, should junk food be treated in the same way as cigarettes?",Why does rent cost more than food?,0,['illness']
102,What is your favorite position to achieve the best G-Spot stimulation?,What are the best natural treatment or product to grow and thicken hair without any harm?,0,['treatment']
103,"What is the difference between primary, secondary, and tertiary health care?",What are Primary Health Care needs of the USA?,0,['health']
104,How do I expose Spark Mllib as a REST service?,What is the cost of staying healthy in India?,0,['health']
105,"If you were wearing a bullet proof mask and got shot, how much would it hurt?",Did anyone ever suggest to Martin Luther King that he wear a bullet proof vest?,0,['mask']
106,What should Muslim parents in the West do to prevent their children from getting influenced by LGBTI culture?,How often were children of slaves in the South separated from their parents?,0,['prevent']
107,Which is a suitable inpatient drug and alcohol rehab center in Chambers County AL?,What is a good inpatient drug and alcohol rehab center in Marshall County AL?,0,['patient']
108,What should I eat for breakfast?,What can I eat for breakfast that is healthy?,0,['health']
109,What are the causes pelvic inflammatory disease?,Why did my budgies develop black dots on their head suddenly?,0,['disease']
110,I want to fuck as many women as I can in my life? How can I achive it?,Why does my ex-boyfriend want to tell me about the new women in his life?,0,['hiv']
111,How do I do PG in medicine in USA after MBBS in India?,How can I get admission in pg in usa in operative discipline after finishing my mbbs here in India?,0,['medicine']
112,"Are there any health benefits to male circumcision? If there are not, why is it still practised in the US?",What are the health risks and benefits of male circumcision?,0,['health']
113,What is a good diet after?,What is the best way to optimize one's diet and health?,0,['health']
114,What is sqdpcme?,"My birth details are 05_mar-1983. Birth Place: Raipur (Chhattisgarh), India, Birth Time: 18:45 hrs.Pls. tell about wealth and health?",0,['health']
115,How do identify antibiotic medicine to a comman man?,Will exit polls for every state be released before any official election result?,0,['medicine']
116,What causes vitamin C deficiency in guinea pigs?,What are the symptoms of vitamin C deficiency in guinea pigs?,0,['symptom']
117,Will Tiffany Trump's new Secret Service protection detail make her less popular to party with? How will it effect her social life?,"Why isn't polylactic acid being used more, in relation to petroleum based plastics?",0,['protect']
118,How has doing Suryanamaskara helped you in your life?,How do numbers help your life?,0,['mask']
119,Am I pregnant from no penetration or ejaculation?,What are the common first signs of pregnancy? How can I tell if I'm pregnant? What are the symptoms?,0,['symptom']
120,What civic virtues did Mayor Mack have?,"What does virtue has a veil, vice a mask means?",0,['mask']
121,Is eating chicken regularly good for health?,Is eating chicken good for your health?,0,['health']
122,Is there any disease that would explain Hillary's bizarre eye movements?,Plss inform me when CBSE improvement form 2017 available?,0,['disease']
123,Is 17 days after exposure too late to start PEP vaccine for rabies?,How long after completing rabies PEP (cat II exposure - vaccine only) can I accept that I won't develop the disease?,0,"['disease', 'vaccine']"
124,What is a suitable inpatient drug and alcohol rehab center near Marion County IN?,What is a suitable inpatient drug and alcohol rehab center near Marion County FL?,0,['patient']
125,Is there a way to get rid of acne naturally?,What is the best treatment for acne scars?,0,['treatment']
126,How many days a period can be late?,What are the common first signs of pregnancy? How can I tell if I'm pregnant? What are the symptoms?,0,['symptom']
127,How is a virus created in an operating system?,How can I create an operating system?,0,['virus']
128,What is a suitable inpatient drug and alcohol rehab center near Brunswick County NC?,What is a suitable inpatient drug and alcohol rehab center near Dare County NC?,0,['patient']
129,"Correlation of (x, xy)?","I Know python, I work in a antivirus company as fresher.can I choose machine learning as I like maths a lot. or python with security.need a suggestion?",0,['virus']
130,How much money do countries spend protecting itself from itself?,How much does it cost to solve crime and what amount of money has been spent on it?,0,['protect']
131,Is yoga really good for the health?,How beneficial is yoga to your health?,0,['health']
132,How can I get first class honours in medicine?,"Is getting 70 percent the same as getting 80 percent in medical school, since both are first class honours?",0,['medicine']
133,What is a suitable inpatient drug and alcohol rehab center near Lee County IL?,Which is a good inpatient drug and alcohol rehab center near Hancock County IL?,0,['patient']
134,What are you going to do about GMO companies that are masking their food labels behind QR codes and what is your take on GMOs?,"3 digit numbers can be formed using the digits 2,3,4,5 and 6 without repitition?",0,['mask']
135,Which is a suitable inpatient drug and alcohol rehab center in Clay County AL?,Which is a suitable inpatient drug and alcohol rehab center in Chambers County AL?,0,['patient']
136,What did people eat in the old days?,Is eating the same thing every day healthy?,0,['health']
137,What is meant by stress relaxation of a material?,What is the healthiest way to relax after the day that was full of rush and stress?,0,['health']
138,What are your views on Adhivakta Parishad?,How and where I can find freelance job of metal forming analysis on Autoform?,0,['hiv']
139,How are the symptoms of a disease caused by pathogens?,What are the causes of a disease?,0,"['disease', 'symptom']"
140,What are the best hair oils in India for preventing hair loss?,How do I prevent hair loss at 15?,0,['prevent']
141,What is a good inpatient drug and alcohol rehab center in Harlan County KY?,What is a good inpatient drug and alcohol rehab center in Clark County KY?,0,['patient']
142,Which is the world's oldest religion? What is the evidence of it?,"Why had Churchill said, ""Islam to a man is like rabies to a dog. Islam is a deadly disease""?",0,['disease']
143,Where can I purchase monitors built to reduce eye strain?,What's the best type of computer monitor for long-term eye health?,0,['health']
144,Can you wear a mask without wearing one?,What masks do you wear?,0,['mask']
145,Which is a good inpatient drug and alcohol rehab center in Coffee County GA?,Which is a good inpatient drug and alcohol rehab center in Bryan County GA?,0,['patient']
146,How does the organ donor process work in India?,How do I keep my organs healthy if I want to be a live donor?,0,['health']
147,What is the best treatment for scalp eczema?,What is the best treatment for eczema?,0,['treatment']
148,Smartphones: Would using tempered glass over a cracked screen make it looks less broken?,My glass screen protector is broken. How do I fix it?,0,['protect']
149,Is it healthy to only sleep once every two nights?,Does anyone sleep only once every two nights? Is it possible and how healthy?,0,['health']
150,"If you could be all knowing in one subject, what would that subject be and why?",What Indian colleges of medicine/universities that teach general medicine would you recommend for international students?,0,['medicine']
151,Who do you think will win the 2016 Nobel Medicine prize?,Who was awarded the 2015 Nobel Prize in Medicine?,0,['medicine']
152,How can I share an idea with a business partner and make sure that person does not steal my idea and plan of execution? How do I protect it?,How can I be sure people won't steal my idea during a pitch?,0,['protect']
153,Can a doctor in medicine become an investment banker?,What career advice would you give to someone who wants to become a investment banker?,0,['medicine']
154,Is there a Photoshop shortcut that allows one to close all existing groups in your layers panel?,How do I set up a Photoshop shortcut that creates a layer mask based on my selection?,0,['mask']
155,What is the best way to prevent a hangover on New Year's Day?,What is the best way to prevent a hangover when drinking?,0,['prevent']
156,Do allergy vaccines work?,How do allergies work?,0,['vaccine']
157,What are your thoughts on the speculation about H. Clinton's health?,"Does Hillary Clinton have health issues we, as voters, should be concerned about?",0,['health']
158,How can Viagra affect your health?,Can taking Viagra affect your health?,0,['health']
159,"Why do some people lose weight easier and faster, eat much more, and exercise much less than others?","I have been losing a lot of weight since I stopped exercising. Does this mean exercise makes me more hungry and eat more? Also, is this healthy?",0,['health']
160,Was Vidkun Quisling really a hero?,In Hogan's Heroes should Col Hogan have protected Col Klink after Germany's surrender since Klink wasn't really a bad person?,0,['protect']
161,Can we get rid of fungal skin infections?,How can I get rid of dry skin behind my ears?,0,['infect']
162,How do you pronounce açaí?,Why are people convinced that acai bowls are such healthy treats?,0,['health']
163,Game of Thrones (TV series): Is greyscale immediately contagious?,How is grey scale disease treated?,0,['disease']
164,When will there be a cure for HIV?,Is Baariz really a cure for HIV?,0,['hiv']
165,What price should charge a patient against biomimetic aura airlines eluting coronary stent system if the mrp of the product is Rs 100000/-?,"What is to stop manufacturers from offsetting their prices so that the MRP of their products post GST stays the same, and their profits increase?",0,['patient']
166,What kind of health care should I buy before I move to US? (My wife and me and two kids),What should I say to wife who is always trying to manipulate me to choose between my kids or my parents?,0,['health']
167,How long does it take for smoking to ruin your lungs?,How much is smoking is injurious to health?,0,['health']
168,"If a spider or insect bite is oozing clear fluid, is this a sign of infection?",What are the causes for an oozing bug bite? How do you treat it?,0,['infect']
169,What is causes normal eyes floater and treatment?,What are eye floaters?,0,['treatment']
170,Is transgender a mental illness?,Is mental Illness really an illness?,0,['illness']
171,Which books are worse than the film?,Will iPhone 6s protection films be compatibles with the new iPhone 7?,0,['protect']
172,Which is less unhealthy: a can of coke or a can of beer?,Is tofu better then soya bean?,0,['health']
173,Which subject would be better MPH (public health) or biotechnology to be settled in the US or other developed countries?,Which is better to live in - USA or UK?,0,['health']
174,Which is a good inpatient drug and alcohol rehab center near Lamar County GA?,What is a good inpatient drug and alcohol rehab center near Floyd County GA?,0,['patient']
175,Why does honey swirl around when I try to pour it?,Do honey bees know that people will try to break the beehive to extract honey?,0,['hiv']
176,What will happen if we come out for 1 year & bonded for 2 years in Wipro?,I have all the symptoms of hypothyroidism but don't actually suffer from the disease. What else could be wrong?,0,"['disease', 'symptom']"
177,"When food goes off in the fridge, can they still become pathogenic and cause disease?","How do startups in the food industry keep their recipes secret when they are still small, and aren't necessarily using commercial machinery?",0,['disease']
178,Where can I find feedback about Healthprofs (healthprofs.com) in the U.S.?,What bothers you most about restaurants (in the U.S.)?,0,['health']
179,What scientific indices do we have that transsexuality is or is not a mental illness?,Is being transgender considered a mental illness? How do we know?,0,['illness']
180,What are replacement for propolene diet pills?,What does a healthy diet consist of?,0,['health']
181,Development Practice: Have you ever worked on a successful environment project in rural Latin America? What made it successful?,Development Practice: Have you ever worked on a successful health project in rural Latin America? What made it successful?,0,['health']
182,What are the benefits and side effects of taking daily Aspirin for the purpose of longevity?,What are the positive and negative health consequences of taking aspirin daily?,0,['health']
183,I'm in non-med grade 11 right now and I really want to go to the US for higher studies. How and what should I do?,I want to do medicine i.e. study MBBS in the USA. I am now studying in 11th grade. What are the steps which I have to follow to get a seat in a medical reputed US university?,0,['medicine']
184,Can I make money on YouTube by uploading other people’s videos such as cartoons or TV shows?,How can I protect my videos on YouTube from being copied and uploaded by someone else?,0,['protect']
185,Is daily sex good for health or not? What is the ideal frequency?,What are the health benefits of running and how much kilometer/miles ideally a man should run daily?,0,['health']
186,How do Chinese people feel about the protection of wild animals?,How do people feel about the protection of wild animals?,0,['protect']
187,How are the health benefits of diet soda?,What's an intuitive explanation of the Borel-Kolmogorov paradox?,0,['health']
188,What universities does eHealth recruit new grads from? What majors are they looking for?,What universities does Express recruit new grads from? What majors are they looking for?,0,['health']
189,Is Dr. Batra's treatment helpful for hair loss? Are there any side effects? What happens once the treatment is over?,Does the hair thickening treatment at Dr. Batra's actually make the hair look thicker? Does it result in hair fall?,0,['treatment']
190,Why is homosexuality not a disease?,How do I respond to someone who believes that homosexuality is a disease?,0,['disease']
191,What are good tips on studying?,What are some good tips to study medicine?,0,['medicine']
192,"If digestion takes about a day, why do I get diarrhea shortly after eating a burrito?","What are some reasons that someone could have diarrhea for 5 or more days, assuming they live in America and eat a healthy diet?",0,['health']
193,What was the state of Osama's health just before he was killed?,Why was SEAL Team 6 (DEVGRU) chosen over Delta Force (1st SFOD-D) for the Abbottabad operation?,0,['health']
194,Is there any treatment for dissociative identity disorder?,What is dissociative identity disorder?,0,['treatment']
195,Is there cure for HIV?,Why is there no cure for HIV yet?,0,['hiv']
196,What does tution waiver 12 hour per semester mean?,What are the negative health effects of standing continuously for 12-14 hours per day?,0,['health']
197,How does Vitamin C prevent pregnancy?,How do cells absorb vitamins such as vitamin C?,0,['prevent']
198,Eset Antivirus! 1877]! [778]! [8969! Helpline Tollfree Number?,Kaspersky Antivirus! 1877]! [778]! [8969! Helpline Tollfree Number?,0,['virus']
199,What is the difference between free and paid antivirus softwares?,How can I get a good and free antivirus?,0,['virus']
200,"If America is the ""world's best country"", why are there still people who can barely afford healthcare? Wouldn't it be better if healthcare was free?",How does America's healthcare system compare to other developed countries?,0,['health']
201,How long asthma patient can survive after his diagnosis?,How long after a failed deviated septum surgery must a patient wait before second surgery can be attempted?,0,['patient']
202,Are there non-poaching agreements between some PR agencies in Bangalore?,South Korea mental illness?,0,['illness']
203,It's ok to take probiotics 30 min after lemon water in the morning?,"What are the health effects, if any, of honey and lemon water?",0,['health']
204,Where is the iPhone downloads folder?,Is there an app to password protect your Iphone folders?,0,['protect']
205,Why is private property and the protection of property rights so important for a country's economic development?,"Why are Libertarians considered anarchists for espousing a system of voluntary economic and social interaction combined with the strict upholding of laws against killing, injuring, threat, theft, and fraud to protect against harm to person and property?",0,['protect']
206,Should I use Kaiser Permanente or Blue Shield for health insurance?,Does Kaiser Permanente cover acupuncture?,0,['health']
207,"Some clinics (actually many) are providing autologous immune therapy for cancer patients, unapproved, in Japan. Is it legal in the USA?",Some Chinese manufactures (Baidu) are making products very similar to Dropcam. Will it be illegal to sell in the US?,0,['patient']
208,How do you get rid of a virus on an iPhone?,How do I get rid of viruses from my Chromebook?,0,['virus']
209,Is time the same in different galaxies?,"Since solar systems, galaxy and other are constantly moving how would I prevent teleporting into different galaxy when time traveling?",0,['prevent']
210,How hard is it to get into Baylor college of medicine?,How hard is it to get into the UCSF School of Medicine as an OOS student?,0,['medicine']
211,What should I do if I think I have a virus on my iPhone?,Does my iPhone have a virus?,0,['virus']
212,I suffer from chronic kidney disease. Can someone guide me in earning money online? (I have limited physical mobility and resources),Where can I earn money online immediately?,0,['disease']
213,What are the new topics in forensic science for dissertation?,Can you use pain relieving patches (menthol 5%) on sore arm after MMR vaccine?,0,['vaccine']
214,What do doctors think of the proposal to test individuals for ebola when they're still asymptomatic?,Can a doctor trained in Canada move to Australia and still work as a doctor?,0,['symptom']
215,Does a lot of oil in food make it hard for you to loose fat? I'm starting to eat a lot of Indian/Pakistani food lately and I'm pretty sure it has a lot of oil (along with a lot of spices). Can I loose fat with cardio if I eat this stuff? Or should I not be eating it at all?,Am I eating an unhealthy amount of junk food if I don't come near the RDA for saturated fats and cholesterol?,0,['health']
216,Is there any reason to prefer the study of bacteria over fungi in the field of geomicrobiology?,I am thinking of research on virus and bacteria. What do I have study after MBBS?,0,['virus']
217,Which are the most common mental illnesses most serial killers have?,"Is it okay to be slightly obsessed with serial killers, psychopaths, and mental illnesses?",0,['illness']
218,Why do some illnesses only appear at certain times of the day?,How do I convince myself to keep moving even when I'm not at my best?,0,['illness']
219,What is pink sock disease?,What is pink sock?,0,['disease']
220,What are the symptoms of anxiety disorder ?,What is anxiety disorder?,0,['symptom']
221,Which is the real photo of Shivaji Maharaj drawn byMir Muhammad?,Is there any film being made on Chatrapati Shivaji Maharaj in Hindi?,0,['hiv']
222,Is transgender a mental illness?,Is homosexuality a mental illness?,0,['illness']
223,Is there an inpatient Drug and Alcohol Rehab Center in San Diego County California?,Is there an inpatient Drug and Alcohol Rehab Center in San Francisco County California?,0,['patient']
224,This question is deleted.,What's your favorite health related quote / words of wisdom?,0,['health']
225,Do any diseases cause unique coughing patterns?,What are the causes of coughing fits?,0,['disease']
226,How can I keep drinking coffee and prevent my teeth from getting stained?,Are there any daily practices to remove the toxins from the body due to drinking coffee?,0,['prevent']
227,How are the placements at Shiv Nadar University for EEE?,How are the placements at Shiv Nadar University for ECE?,0,['hiv']
228,Is there an inpatient Drug and Alcohol Rehab Center in Modoc County California?,Is there an inpatient Drug and Alcohol Rehab Center in Siskiyou County California?,0,['patient']
229,What is best treatment/exercises for lumber stenosis and calf muscle wastage?,Where can I buy International designs of Sofas in India?,0,['treatment']
230,What will happen if we eat paper? Is it bad? Will it cause any health problems?,Is it bad to eat paper?,0,['health']
231,Does taro boba milk tea have caffeine?,Is boba tea unhealthy?,0,['health']
232,Is masturbation good for a woman's health also?,Is masturbating good for health?,0,['health']
