question,answer
How do I protect my health in a flood?,"Since floods can potentially increase the transmission of water- and vector-borne diseases, such as typhoid fever, cholera, malaria, and yellow fever, among others, it is important to know your risk and protect your water sources. The most common risks associated with flooding is the contamination of drinking-water facilities, and standing water, which can be a breeding site for mosquitoes, bring chemical hazards, and cause injuries.
Protect your health during a flood by:

Knowing your community’s evacuation route and warning signals, and identifying areas prone to flooding or landslides.
Chlorinating or boiling all water for drinking and food preparation
    Ensuring uninterrupted provision of safe drinking water is the most important preventive measure to be implemented following flooding, in order to reduce the risk of outbreaks of water-borne diseases.
    
Promoting good hygienic practices and safe food preparation techniques
    Do not use flood water to wash dishes, brush teeth or wash and prepare food. Always wash your hands with soap and water if you have been in contact with floodwater.
Avoiding walking or driving through flooded areas and standing water.
    Even the smallest amount of water can bring about significant dangers. You do not know if electrical lines have fallen in the water or hazardous chemicals exist. Cars and people can easily be swept away during a flood.
    
Throwing away any food that has come in contact with floodwater.
    If your food has touched any floodwater, it is not safe to eat and increases your risk of water-borne diseases.
    
Safely cleaning your home if it has come in contact with floodwater.
    Throw out any items that cannot be washed and cleaned with bleach, such as pillows and mattresses. Clean all walls, floors and other surfaces with soap and water, as well as bleach.
    
Protect against mosquitos
    If your home is in an area with stagnant or standing water, use mosquito repellent, following the instructions on the label, and apply it to clothes or skin. Also wear trousers and long-sleeved shirts, and cover beds with mosquito nets when sleeping.

Additional resources

Drinking water
Vector-borne diseases
Five Keys to Safer Food"
How do statistics improve health?,"Countries need health statistics in order to identify why 
people die or what causes illness or injury. This information enables 
countries to target their health problems and prioritize the use of 
precious health resources.Every year WHO analyses data from its 194 Member States and 
produces burden of disease and mortality health estimates, which are 
published in the ""World health statistics"". These estimates are a report
 card of global health. They tell us, for example, that risks to health 
are changing. Fewer people are dying from infectious diseases in low- 
and middle-income countries but more people are suffering from chronic 
diseases due to changing patterns of physical activity and consumption 
of alcohol, tobacco and food. These countries now suffer from a double 
burden of chronic, non-communicable conditions as well as the diseases 
that traditionally affect the poor."
How does WHO collect statistics?,"WHO statistics are generated from multiple sources using a 
variety of data collection methods, including household surveys, routine
 reporting by health services, civil registration and censuses and 
disease surveillance systems.In estimating country figures, WHO applies methods of analysis
 that improve data quality and ensure transparency in the application of
 the adjustments that are needed to make the data more comparable across
 countries and over time. (Data that are comparable have been generated 
using the same or similar methods, for similar populations and time 
periods, using standard definitions).WHO is working with countries to improve the quality of health
 information. Currently, WHO receives cause-of-death statistics 
regularly from only about 100 Member States.. Globally, two-thirds (38 
million) of 56 million annual deaths are not registered. WHO makes its data and analyses accessible through the Global 
Health Observatory portal as well as databases that provide statistics 
on a wide range of diseases and health indicators. Related linksGlobal Health Observatory"
Are e-cigarettes and other vaping products dangerous?,"There are many different types of e-cigarettes.  E-cigarettes are the most common form of electronic nicotine delivery systems (ENDS) and electronic non-nicotine delivery systems (ENNDS) but there are others, such as e-cigars, e-pipes, etc. ENDS contain varying amounts of nicotine and harmful emissions.E-cigarette emissions typically contain nicotine and other toxic substances that are harmful to both users, and non-users who are exposed to the aerosols secondhand. Some products claiming to be nicotine-free have been found to contain nicotine.Evidence reveals that these products are harmful to health and are not safe. However, it is too early to provide a clear answer on the long-term impact of using them or being exposed to them. They are particularly risky when used by children and adolescents. Nicotine is highly addictive and young people’s brains develop up to their mid-twenties. Exposure to nicotine of children and adolescents can have long-lasting, damaging effects on brain development and there is risk of nicotine addiction. Furthermore, there is a growing body of evidence in some settings that never-smoker minors who use ENDS at least double their chance of starting to smoke conventional tobacco cigarettes later in life. ENDS use increases the risk of heart disease and lung disorders.  They also pose significant risks to pregnant women who use them, as they can damage the growing fetus.ENDS also expose non-smokers and bystanders to nicotine and other harmful chemicals.Exposure of children to ENDS liquid continues to pose serious risks. There is a risk of the devices leaking, or of children swallowing the liquid, and ENDS have been known to cause serious injuries, including burns, through fires and explosions."
Do e-cigarettes (ENDS) cause lung injuries?,"There is growing evidence that ENDS could be associated with lung injuries and in recent times e-cigarette and vaping have been linked to an outbreak of lung injury in the USA.  This is described by the United States Centers for Disease Control and Prevention (CDC) as ‘e-cigarette or vaping associated lung injury’ (EVALI), which led the CDC to activate an emergency investigation into EVALI on 17 September 2019. The CDC says “as of 14 January 2020, there have been a total of 2,668 cases of EVALI reported from all 50 states, the District of Columbia, Puerto Rico, and the US Virgin Islands, including 60 deaths confirmed in 27 states and the District of Columbia. Among 2,022 hospitalized cases with information on substances used, 1,650 (82%) reported using any THC-containing product, and 1,162 (57%) reported using any nicotine-containing product; 669 (33%) reported exclusive THC-containing product use, and 274 (14%) reported exclusive nicotine-containing product use.”  Further information on this incident, including a strong link of the EVALI outbreak to Vitamin E Acetate and the latest report, is available at https://www.cdc.gov/tobacco/basic_information/e-cigarettes/severe-lung-disease.html, which is updated every week, as the evidence is not sufficient to exclude the contribution of other chemicals. At least five other countries have initiated investigations to identify cases of lung injuries related to the EVALI cases reported in the US."
Are e-cigarettes more or less dangerous than conventional tobacco cigarettes?,"It is difficult to generalize on the risk to health of ENDS as compared with cigarettes or other tobacco products, as this is contingent on a range of factors.Both tobacco products and ENDS pose risks to health.  The safest approach is not to use either.The levels of risk associated with using ENDS and/or tobacco products are likely to depend on a range of factors, some relating to the products used
    and some to the individual user. Factors include: product type and characteristics, how the products are used, including frequency of use, how the products are manufactured, who is using the product, and whether product characteristics are manipulated
    post-sale.Toxicity is not the only factor in considering risk to an individual or a population from exposure to ENDS emissions. These factors may include the potential for abusing or manipulating the product, use by children and adolescents
    who otherwise would not have used cigarettes, simultaneous use with other tobacco products (dual or poly use) and children and adolescents going on to use smoked products following experimentation with ENDS.  Further, not all ENDS are the same
    and the risks to health may differ from one product to another, and from user to user."
Are ENDS addictive?,"ENDS contain nicotine, which is highly addictive, and ENDS use involves the inhalation of a nicotine-infused aerosol."
Are secondhand ENDS emissions dangerous?,The aerosols generated by ENDS typically contain toxic substances. ENDS pose risks to both users and non-users.
What are the policy options for regulating ENDS?,"How a country approaches ENDS will depend on factors particular to its situation. ENDS are currently banned in over 30 countries worldwide. In others they are regulated as consumer products, as pharmaceutical products, as tobacco products, other categories or totally unregulated. Where they are not banned, WHO recommends that ENDS be regulated. Regulatory objectives include: Preventing initiation of ENDS use by non-smokers and children, such as by preventing or restricting advertising, promotion and sponsorship, and restricting flavours that appeal to children  Minimizing as far as possible potential health and/or risks to ENDS users, such as by regulating product characteristics Protecting non-users from exposure to their emissions, such as by prohibiting ENDS use in indoor spaces where smoking is not permittedPreventing unproven health claimsProtecting public health policies from commercial and other vested interests"
What role do ENDS play in smoking cessation?,"The scientific evidence regarding the effectiveness of ENDS as a smoking cessation aid is still being debated. To date, in part due to the diversity of ENDS products and the low certainty surrounding many studies, the potential for ENDS to play a role as a population-level tobacco cessation intervention is unclear. To truly help tobacco users quit and to strengthen global tobacco control, governments need to scale up policies and interventions that we know work. Tried and tested interventions, such as brief advice from health professionals, national toll free quit lines and cessation interventions delivered via mobile text messaging is recommended. Where economically feasible, governments should also consider promoting nicotine replacement therapies and non-nicotine pharmacotherapies for cessation."
What is WHO doing about ENDS?,"WHO regularly monitors and reviews the evidence on ENDS and health and offers guidance to governments. This includes the biennial WHO Report on the Global Tobacco Epidemic, which tracks the status of the tobacco epidemic and interventions to combat it and other relevant resources. WHO strives to build a safer, healthier world for everyone, everywhere."
What further information is available?,"Links to WHO reports with further information on e-cigarettes or ENDS to which the reader can refer are provided below: WHO report on the global tobacco epidemic, 2019. Geneva: World Health Organization, 2019. Ghebreyesus TA. (2019). Progress in beating the tobacco epidemic. Lancet. (published online July 26) WHO Study Group on Tobacco Product Regulation. Report on the scientific basis of tobacco product regulation: seventh report of a WHO study group. Geneva: World Health Organization; 2019 (WHO Technical Report Series, No. 1015). Licence: CC BY-NC-SA 3.0 IGOFCTC/COP6 10 Rev 1 (2014) –WHO. Electronic nicotine delivery systems. Report by WHO, Conference of the Parties to the WHO Framework Convention on Tobacco Control, sixth sessionFCTC/COP7/11 (2016) - WHO. Electronic Nicotine Delivery Systems and Electronic Non-Nicotine Delivery Systems (ENDS/ENNDS). Report by WHO, Conference of the Parties to the WHO Framework Convention on Tobacco Control, Seventh session"
1. What is the GCF Readiness Programme?,"The Readiness Programme is a funding mechanism of the Green Climate Fund (GCF) that is aimed at enhancing country ownership and access to the GCF.  Readiness activities emphasize strengthening institutional capacities of National Designated Authorities (NDAs) or focal points and Direct Access Entities to efficiently engage with GCF. It also assists countries in undertaking adaptation planning and developing strategic frameworks to build their programmatic work with GCF.There are five objectives for the Readiness Programme, and activities proposed under this programme must contribute to one or more of these objectives:I.  Capacity buildingII.  Strategic frameworksIII.  Pipeline developmentIV.  Knowledge sharing and learningV.  Adaptation planningIt is recommended to become familiar with the GCF ‘Readiness and Preparatory Support Guidebook’ and related templates, particularly the GCF readiness proposal template and related templates."
2. Who can access the GCF Readiness Programme?,"All developing country parties to the UNFCCC can access the Readiness Programme, and GCF aims at least 50 per cent of the readiness support goes to particularly vulnerable countries, including Least Developed Countries (LDCs), Small Island Developing States (SIDS) and African States."
3. How much funding is available under the GCF Readiness Programme?,"The GCF Readiness Programme provides:Up to USD 1 million per country per year for support related to institutional capacity building, coordination, policy and planning, and programming for investment. Of this overall amount, Nationally Designated Authorities (NDAs) or Focal Points may request up to USD 300,000 per year in direct support to help establish or strengthen a NDA or focal point to deliver on the Fund’s requirements. A maximum of USD 100,000 can be used for NDA-led stakeholder meetings.Up to USD 3 million per country for the formulation of National Adaptation Plans (NAPs) and/or other adaptation planning processes. This may include support for subnational adaptation plans and/or sectoral adaptation planning processes including H-NAPs It is possible to apply for both the USD 1 million per year and the readiness funds of USD 3 million per year at the same time. The USD 3 million is a one-time funding allocation available for NAP-related activities (including the development of an H-NAP). NDAs may have multiple readiness grants under implementation simultaneously with different delivery partners."
4. Are readiness projects intended to be regional or country-specific?,Readiness proposals can be developed and submitted at country level or at regional level depending on the context-specific needs of the country/ies. Nationally Designated Authorities (NDAs) may have multiple readiness grants under implementation simultaneously and countries can participate in both regional and country level readiness projects (without exceeding the funding caps).
5. Is there a division between mitigation and adaptation activities in terms of funding for readiness?,"No, there are currently no specific funding targets for mitigation/adaptation for readiness. Readiness strongly emphasizes the development of country capacity."
What is lymphatic filariasis?,"Lymphatic filariasis, commonly known as elephantiasis, is a painful and profoundly disfiguring parasitic disease. In communities where the parasite is transmitted, all ages are affected. While the infection may be acquired during childhood its visible manifestations may occur later in life, causing temporary or permanent disability. In endemic countries, lymphatic filariasis has a major social and economic impact."
What causes lymphatic filariasis?,"The disease is caused by three species of thread-like nematode worms, known as filariae – Wuchereria bancrofti (responsible of 90% of the cases), Brugia malayi and Brugia timori. Male worms are about 3–4 centimetres in length, and female worms 8–10 centimetres. The male and female worms together form “nests” in the human lymphatic system, the network of nodes and vessels that maintain the delicate fluid balance between blood and body tissues. The lymphatic system is an essential component of the body’s immune system."
How is the parasite transmitted?,"Adult male and female worms lodge in the lymphatics. Fecund females release larvae (microfilaria) which periodically circulate in the blood. Microfilaria circulating in the blood can be ingested by feeding mosquito vectors. Microfilaria must mature in the vector before becoming infective. The mosquitoes can then spread infective larvae to new hosts when feeding.The major vectors of W. bancrofti are mosquitoes of the genus Culex (in urban and semi-urban areas), Anopheles (in rural areas of Africa and elsewhere) and Aedes (in islands of the Pacific)."
Where is lymphatic filariasis most commonly found?,"An estimated 120 million people in tropical and subtropical areas of the world are infected with lymphatic filariasis. Of the total population requiring preventative chemotherapy to interrupt the transmission cycle, 57% live in the South-East Asia Region (9 countries) and 37% live in the African Region (35 countries)."
What are the signs and symptoms of lymphatic filariasis?,"Filarial infection can cause a variety of clinical manifestations, including lymphoedema of the limbs, genital disease (hydrocele, chylocele, and swelling of the scrotum and penis) and recurrent acute attacks, which are extremely painful and are accompanied by fever. The vast majority of infected people are asymptomatic, but virtually all of them have subclinical lymphatic damage and as many as 40% have kidney damage, with proteinuria and haematuria."
6. Can readiness funding be used to develop a full GCF project proposal?,"No, readiness funding cannot be used for development of a GCF project proposal. However, under the readiness programme activities can be conducted that contribute to project development such as concept notes, pre-feasibility studies, sectoral baseline assessments, mitigation potential assessments, vulnerability and impact assessments and sectoral investment action plans. Readiness activities can also include the development of prioritization methodologies, establishment of MRV frameworks and implantation of climate finance budget protocols."
For whom is this tool useful?,"The tool is useful for policy makers, programme planners and managers, the donor community, advocates for FGM abandonment and anyone interested in learning more about the impact of FGM on health and economies."
How do you hope that countries will use this tool?,This tool can be considered an advocacy tool—demonstrating to countries the positive economic impacts of ending FGM. FGM accounts for on average 9% and up to 30% of the current health expenditures per capita in the 27 included countries.
How were the costs calculated?,"The increased health risks associated with FGM were calculated using the best available scientific evidence. 
Health conditions which have a statistically significant increased risk were included in this analysis. 
Costs of treating  health complications were calculated using standard methods (WHO OneHealth Tool) and (WHO guidance and tools on treatment of health complications of FGM ),
and these costs were applied according to demographic data in each country to arrive at current costs and to project cost savings in  each of those countries."
What information can this tool give?,"The tool allows the user to choose to visualize data by country on the costs associated with health complications of FGM over a woman’s lifetime. It shows how much money can be saved if FGM is prevented – both for now, and for future generations. Users can see the impact of investing in the prevention of FGM both for particular countries and also globally."
How is lymphatic filariasis diagnosed?,There are two methods to diagnose the disease. One can either detect the presence of circulating microfilariae in the blood by examining thick smears (20–60 μl) of finger-prick blood. Blood must be collected at a specific time – either at night or during the day – depending on the periodicity of the microfilariae.The second possibility is to detect Wuchereria bancrofti (the parasite) antigen in human blood samples using the rapid diagnostic test Alere Filariasis Test Strip.
Can lymphatic filariasis be cured?,"All people with filariasis who have microfilaraemia or a positive antigen test should receive antifilarial drug treatment to eliminate microfilariae. Unfortunately, the medicines available have limited effect on adult worms. Treatment also requires managing morbidity and preventing disabilities for affected people."
Can lymphatic filariasis be prevented?,Avoidance of mosquito bites through personal protection measures or community-level vector control and participation in MDA (Mass Drug Administration) at the community level is the best option to prevent lymphatic filariasis.The primary goal of treating affected communities is to eliminate microfilariae from the blood of infected individuals in order to interrupt transmission of infection by mosquitoes. Studies have shown that > 5 years of MDA with preventive chemotherapy reduces microfilariae from the bloodstream and prevents the spread of microfilariae to mosquitoes.
What is the difference between lymphatic filariasis and podoconiosis?,"Podoconiosis is a type of tropical lymphoedema clinically distinguished from lymphatic filariasis through being ascending and commonly bilateral but asymmetric. Evidence suggests that podoconiosis is the result of a genetically determined abnormal inflammatory reaction to mineral particles in irritant red clay soils derived from volcanic deposits. It is a non-parasitic disease.It is mostly found in highland areas of tropical Africa, Central America and north-west India. Like lymphatic filariasis, podoconiosis results in impairments due to lymphoedema. As is the case for lymphatic filariasis, a basic package of care can alleviate suffering and prevent further progression of disease and disability."
Can you explain what exactly is ‘super gonorrhea’?,"We have heard a lot about ‘super gonorrhea’ this year. Basically, when 
we say ‘super gonorrhea’ we mean ‘gonorrhea superbug’. These are extensively drug-resistant gonorrhea with high-level resistance
 to the current recommended treatment for gonorrhea (ceftriaxone and 
azithromycin) including resistance to penicillin, sulphonamides, 
tetracycline, fluoroquinolones, macrolides. Gonorrhea “superbug” had 
been reported by several countries including France, Japan and Spain, 
and this year also in UK and Australia."
What is the current situation of gonorrhea and resistance to current treatment to gonorrhea?,"Neisseria gonorrhoeae
 is the second most common bacterial sexually transmitted infection 
(STI) and results in substantial morbidity and a huge economic cost 
worldwide. The World Health Organization (WHO) estimates that in 2012, 78 million new cases occurred among adolescents and adults aged 15–49 years worldwide
 with a global incidence rate of 19 per 1000 females and 24 per 1000 
males, with the highest number of incidences occurring the WHO Western 
Pacific and African Regions.1 Antimicrobial
 resistance (AMR) in gonorrhea actually appeared shortly after the 
introduction of antimicrobials at the beginning of the 20th 
century. Resistance has continued to expand since then. In countries 
where appropriate and quality-assured surveillance is in place, there 
are rising trends in decreased susceptibility and increased resistance 
in N. gonorrhoeae to the “last line” of antibiotics (cefixime and ceftriaxone)."
What is causing resistance to gonorrhea?,"There are really 5 reasons for the rise of resistant gonorrhea. Unrestricted access to antimicrobialsInappropriate selection and overuse of antibioticsSuboptimal quality of antibiotics Inherent genetic mutations within the organism which have contributed to the development of a pattern of resistance in N. gonorrhoeae Extra
 genital infections – anorectal and pharyngeal – particularly affect key
 populations such as men who have sex with men. This may also play an 
important role in the development of resistant strains as N. gonorrhoeae interacts and exchanges genetic material with other co-infections in these anatomical sites"
"As levels of AMR and resistance infections are on the rise globally, should we expect to see an increase in resistance to other STIs? Is it possible that we will have ‘super’ syphilis or ‘super’ chlamydia in the near future?","Yes, there are risks that resistance could 
be seen in other STIs. In fact, we’re already seeing it.  Although the 
first line treatment of Benzathine penicillin remains highly effective, 
there has been evidence of resistance to azithromycin, commonly used as 
an alternative treatment for syphilis and other common infections.  There have been no reported cases of ‘super’ syphilis. There is, however, increasing resistance to Mycoplasma genitalium, a common STI that causes urethral discharge, and a common symptom for gonorrhea and chlamydial infection as well. Luckily, there have been no reports yet of resistance to the treatment of chlamydia."
What happens if gonorrhea is not treated effectively (untreatable)?,"When we talk about the risks of ineffectively-treated gonococcal infections, there are really three main areas of concern.Reproductive ImplicationsGonococcal infections have critical implications to reproductive, maternal and newborn health including:a five-fold increase of HIV transmissioninfertility, with its cultural and social implicationsinflammation, leading to acute and chronic lower abdominal pain in womenectopic pregnancy and maternal deathfirst trimester abortion; andsevere neonatal eye infections that may lead to blindnessFinancial ImplicationsSeparate
 from the growing severity of medical risks, gonococcal infections 
represent an enormous potential financial cost both for individuals and 
governments. Based on the 2013 global estimates of incident gonococcal 
infections, approximately 300 000 healthy lives would be lost yearly due
 to infections, with the burden of disease estimated to increase 
further. There is a real worry as we see both the number of people 
becoming infected and a rise in number of people with long-term 
complications associated with gonococcal infections. Spread of diseaseThe emergence of different forms of resistance in N. gonorrhoea
 is often followed by a rapid spread of the disease.  The effect of this
 is felt in all countries, but with disproportional effects in low- and 
middle-income countries, whose health systems maybe underdeveloped or 
lacking resources. It is important to remember that we are all at risk 
of epidemics produced by antimicrobial resistance."
1. Another sector in my country is already developing (or has already submitted) a proposal for readiness funds. Can the health sector still access readiness funds?,"Yes. Nationally Designated Authorities (NDAs) may have multiple readiness grants under implementation at the same time, as long as they collectively do not exceed the yearly funding cap of USD 1 million."
2. My country is already preparing a GCF project proposal. Are we still able to access readiness funds?,"Yes, you may access readiness while preparing a funding proposal, however, the readiness funds cannot be used to develop a full project proposal. If your country has not yet received the full allocation of available readiness funds the fact that you are pursuing the development of a full project proposal doesn’t mean that you cannot access readiness funds. Since the development and potential approval of a full proposal is a long process, accessing readiness funds may be a good way to increase health representation within the GCF portfolio."
3. What are multi-year readiness proposals and what type of activities are eligible?,"Multi-year readiness proposals can be submitted for readiness activities that will be implemented over multiple years, up to a maximum of 3 years and a maximum of USD 3 million (capped at USD 1 million/country/year). The main purpose of a multi-year proposal is to allow countries to be more programmatic in their approach to readiness. Countries and delivery partners should carefully read the conditions for submission in the guidebook for this type of readiness proposal."
4. Can countries submit a regional readiness proposal?,"Yes. Several countries can develop a regional-level readiness proposal.  Each country included in the proposal must contribute a part of their USD 1 million cap and all countries will benefit from the activities. If five countries are submitting a proposal, one of the five must submit the proposal to the GCF and all of the countries must submit a financial support letter indicating how much each country is contributing to this proposal. Not every country must contribute the same amount to the proposal. For example, if five countries develop a regional readiness proposal and each agrees to contribute USD 300k the total readiness proposal value will be USD 1.5 million. Another example is two countries contribute USD 400k and three countries contribute 100k, the total readiness proposal value will be USD 1.1 million."
5. Is it possible for a country to join a regional proposal and at the same time submit country-level readiness proposals?,"Yes. Countries can submit proposals for up to USD 1 million per year, and NDAs may have multiple readiness grants under implementation simultaneously. For example, if a country joins a regional proposal and agrees to contribute USD 300k, and they have no other readiness projects for that year, then the remaining USD 700k can be sought for other country-level readiness activities."
6. Who submits a regional readiness proposal?,"A regional Readiness is submitted by a ""Lead"" NDA, with support letters from the NDAs of all other participating countries."
7. How are regional GCF readiness projects coordinated?,"The regional-level coordination will depend upon the specific projects and country contexts. NDAs have national level coordination mechanisms which will need to be considered in planning regional level coordination.However, regional coordination for a readiness project where WHO is the delivery partner will usually be managed by the WHO Regional Office with WHO Headquarters providing high level coordination and advice."
